Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.092324209156769,0.077440502793047,0.0427607357366362,0,0,0,3.2125402349035,0.00580133003669007,1.93643410745575E-06,4.08904785209622E-07,0.00721904461730866,3.86677335720294E-07,0.0125108174018615,0,0,0,0,0,0,package://model20/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://model20/meshes/base_link.STL,,1. E-baseline-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_front_wheel_suspension,-0.00786753377996494,-0.0155948984609842,0.0232556468762561,0,0,0,0.0651133753252895,1.48802654908116E-05,1.64845451975805E-08,-1.56420031463122E-07,1.75245555055195E-05,-2.96403540336096E-09,8.01010024686586E-06,0,0,0,0,0,0,package://model20/meshes/left_front_wheel_suspension.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://model20/meshes/left_front_wheel_suspension.STL,,3.Suspension_L-1,Origin_left_front_wheel_suspension_joint2,Axis_left_front_wheel_suspension_joint2,left_front_wheel_suspension_joint,prismatic,-0.019998715602551,0.155491237481961,-0.0309978167969167,1.5707963267949,0,-1.5707963267949,base_link,0,1,0,0,0,0,0,,,,,,,,
left_front_wheel,0.0158399891826273,-4.59981459866032E-09,7.99690621500204E-08,0,0,0,0.22822169800504,0.000789211576324215,-1.09995507949643E-10,1.91230261060051E-09,0.000410429434291453,-5.55672248123661E-16,0.000410429434301075,0,0,0,0,0,0,package://model20/meshes/left_front_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://model20/meshes/left_front_wheel.STL,,Wheel_3dprintABS-1,Origin_left_front_wheel_joint2,Axis_left_front_wheel_joint2,left_front_wheel_joint,continuous,-0.0197601403859578,-0.0217865728752538,0.00999990007507129,3.08413603591628,0,3.14159265358979,left_front_wheel_suspension,0.999999999987214,0,0,3.1,7,,,,,,,,,,
right_front_wheel_suspension,-0.00415434378457435,-0.0156302499401892,0.0232556866612721,0,0,0,0.0651133753251555,1.48802639086072E-05,1.64845302056301E-08,1.56454773175217E-07,1.75245555054544E-05,2.96411876510212E-09,8.01010182899685E-06,0,0,0,0,0,0,package://model20/meshes/right_front_wheel_suspension.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://model20/meshes/right_front_wheel_suspension.STL,,2.Suspension_R-1,Origin_right_front_wheel_suspension_joint2,Axis_right_front_wheel_suspension_joint2,right_front_wheel_suspension_joint,prismatic,-0.019998685205965,-0.0145086967784139,-0.0309978167969166,1.5707963267949,0,-1.5707963267949,base_link,0,1,0,0,0,0,0,,,,,,,,
right_front_wheel,0.015839199018542,1.11022302462516E-16,0,0,0,0,0.22822169800504,0.000789211576333899,-3.40301779837873E-20,5.22139474396739E-21,0.000410429434291421,-3.32036915323686E-19,0.00041042943429142,0,0,0,0,0,0,package://model20/meshes/right_front_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://model20/meshes/right_front_wheel.STL,,Wheel_3dprintABS-3,Origin_right_front_wheel_joint2,Axis_right_front_wheel_joint2,right_front_wheel_joint,continuous,0.00773912001850283,-0.0217849999999998,0.0100000000000001,0.162600051915931,0,0,right_front_wheel_suspension,1,0,0,3.1,7,,,,,,,,,,
camera,0.00574434029795973,-0.000740342879783765,-0.0662231976935658,0,0,0,0.0436119957238953,2.34834564028883E-05,-1.2127803698202E-09,-3.47379224009179E-07,4.2947905005604E-06,-5.91274656944154E-10,2.2193065138918E-05,0,0,0,0,0,0,package://model20/meshes/camera.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://model20/meshes/camera.STL,,Webcam_C920 - 복사본-4,Origin_cam,Axis_camera,camera,fixed,-0.0134999999999999,0.0764920649895213,0.154987708684933,0,0,0,base_link,0,0,0,,,,,,,,,,,,
camera2,-0.0221485658915229,0.000718215963980057,0.0651474645619419,0,0,0,0.0436119950287125,2.34616976848218E-05,-7.54185132535708E-10,3.85065873476792E-07,4.29479133591139E-06,-1.11912173840817E-09,2.22148222430625E-05,0,0,0,0,0,0,package://model20/meshes/camera2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://model20/meshes/camera2.STL,,Webcam_C920 - 복사본-3,Origin_cam2,Axis_camera2,camera2,fixed,-0.00852200766865335,0.0757627858576307,0.0876258392043087,0,0.261799387799143,0,base_link,0,0,0,,,,,,,,,,,,
lidar,-0.00868778989367747,-0.00242014065569162,-0.0287648859064542,0,0,0,0.0730845706123877,1.95808756096351E-05,-1.03933750344926E-07,4.28391241039136E-07,2.41250086763081E-05,-9.42709906914268E-09,4.1418452244397E-05,0,0,0,0,0,0,package://model20/meshes/lidar.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://model20/meshes/lidar.STL,,RPLidar-1,Origin_lidar_joint,Axis_lidar_joint,lidar_joint,fixed,-0.0642592027859291,0.0687050562666345,0.223497816796912,0,0,0,base_link,0,0,0,,,,,,,,,,,,
imu,0,1.38777878078145E-17,0.00250000000000002,0,0,0,0.000510000000000001,5.31250000000002E-09,-7.37257477290141E-26,-1.56670636404651E-40,5.31250000000002E-09,-5.52943107967612E-26,8.50000000000004E-09,0,0,0,0,0,0,package://model20/meshes/imu.STL,1,1,1,1,0,0,0,0,0,0,package://model20/meshes/imu.STL,,imu-1,Origin_imu2,Axis_imu,imu,fixed,-0.0950000000000001,0.117752824450965,0.169997816796917,0,0,0,base_link,0,0,0,,,,,,,,,,,,
rear_wheel,-1.38777878078145E-17,-0.0587398646659116,2.22044604925031E-16,0,0,0,0.350258660632925,0.0001661084299666,1.57966005845945E-21,-9.68053563945766E-22,0.000114730603640893,3.12814718713275E-21,0.0001661084299666,0,0,0,0,0,0,package://model20/meshes/rear_wheel.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://model20/meshes/rear_wheel.STL,,suspension3-1;ball_sus-1,Origin_rear_wheel,Axis_rear_wheel,rear_wheel,continuous,-0.2255,0.0755075140386331,-0.0309978167969167,1.5707963267949,0,-1.5707963267949,base_link,0,1,0,,,,,,,,,,,,
